Temperatura do ar ambiente,Rotação do motor - RPM,Carga calculada do motor,Ajuste de combustível de longo prazo - Banco 1,Temperatura do ar admitido - ACT,Temperatura do líquido de arrefecimento do motor - CTS,Ajuste de combustível de curto prazo - Banco 1,"Sonda lambda - Banco 1, sensor 2",Pressão barométrica,Tensão do módulo,Posição relativa da borboleta - TPS,Posição absoluta da borboleta - TPS,Posição absoluta da borboleta - Sensor B,"Sonda lambda - Banco 1, sensor 1","Ajuste de combustível de curto prazo - Banco 1, sensor 1",Pressão no coletor de admissão - MAP,Estado do sistema de combustível,Carga absoluta do motor,Nº de falhas na memória,Altitude
17 °C,796 rpm,26 %,0 %,39 °C,38 °C,-4 %,0.45 V,920 mbar,14.15 V,2 %,13 %,13 %,0.69 V,-5 %,350 mbar,Malha fechada null,20 %,6 null,765 m
17 °C,803 rpm,27 %,0 %,39 °C,38 °C,-5 %,0.45 V,920 mbar,14.05 V,2 %,13 %,13 %,0.33 V,-2 %,350 mbar,Malha fechada null,20 %,6 null,765 m
17 °C,806 rpm,27 %,0 %,39 °C,38 °C,-1 %,0.45 V,920 mbar,14.15 V,2 %,13 %,13 %,0.26 V,0 %,350 mbar,Malha fechada null,21 %,6 null,765 m
17 °C,799 rpm,27 %,0 %,39 °C,38 °C,1 %,0.45 V,920 mbar,14.15 V,2 %,13 %,13 %,0.29 V,2 %,350 mbar,Malha fechada null,21 %,6 null,765 m
17 °C,796 rpm,27 %,0 %,39 °C,38 °C,2 %,0.45 V,920 mbar,14.05 V,2 %,13 %,13 %,0.73 V,2 %,350 mbar,Malha fechada null,21 %,6 null,765 m
17 °C,798 rpm,27 %,0 %,39 °C,38 °C,2 %,0.45 V,920 mbar,14.05 V,2 %,13 %,13 %,0.74 V,2 %,350 mbar,Malha fechada null,21 %,6 null,765 m
17 °C,794 rpm,27 %,0 %,39 °C,38 °C,-1 %,0.45 V,920 mbar,14.15 V,2 %,13 %,13 %,0.75 V,-2 %,350 mbar,Malha fechada null,20 %,6 null,765 m
17 °C,806 rpm,27 %,0 %,39 °C,38 °C,-2 %,0.45 V,920 mbar,14.15 V,2 %,13 %,13 %,0.72 V,-2 %,350 mbar,Malha fechada null,20 %,6 null,765 m
17 °C,803 rpm,27 %,0 %,39 °C,38 °C,-3 %,0.45 V,920 mbar,14.05 V,2 %,13 %,13 %,0.42 V,0 %,350 mbar,Malha fechada null,20 %,6 null,765 m
17 °C,799 rpm,27 %,0 %,39 °C,38 °C,1 %,0.45 V,920 mbar,14.05 V,2 %,13 %,13 %,0.24 V,2 %,350 mbar,Malha fechada null,20 %,6 null,765 m
17 °C,805 rpm,27 %,0 %,39 °C,38 °C,2 %,0.45 V,920 mbar,14.15 V,2 %,13 %,13 %,0.71 V,2 %,350 mbar,Malha fechada null,20 %,6 null,765 m
17 °C,800 rpm,27 %,0 %,39 °C,38 °C,2 %,0.45 V,920 mbar,14.24 V,2 %,13 %,12 %,0.73 V,2 %,350 mbar,Malha fechada null,21 %,6 null,765 m
17 °C,797 rpm,27 %,0 %,39 °C,38 °C,0 %,0.45 V,920 mbar,14.24 V,2 %,13 %,13 %,0.72 V,-1 %,350 mbar,Malha fechada null,20 %,6 null,765 m
17 °C,798 rpm,27 %,0 %,39 °C,38 °C,-2 %,0.45 V,920 mbar,14.05 V,2 %,13 %,13 %,0.46 V,2 %,350 mbar,Malha fechada null,20 %,6 null,765 m
17 °C,805 rpm,27 %,0 %,39 °C,38 °C,2 %,0.45 V,920 mbar,14.24 V,2 %,13 %,13 %,0.67 V,2 %,350 mbar,Malha fechada null,20 %,6 null,765 m
17 °C,804 rpm,27 %,0 %,39 °C,38 °C,2 %,0.45 V,920 mbar,14.15 V,2 %,13 %,12 %,0.74 V,2 %,350 mbar,Malha fechada null,20 %,6 null,765 m
17 °C,801 rpm,27 %,0 %,39 °C,38 °C,2 %,0.45 V,920 mbar,14.05 V,2 %,13 %,13 %,0.74 V,0 %,350 mbar,Malha fechada null,20 %,6 null,765 m
17 °C,794 rpm,27 %,0 %,39 °C,38 °C,-1 %,0.45 V,920 mbar,14.24 V,2 %,13 %,13 %,0.60 V,-1 %,350 mbar,Malha fechada null,21 %,6 null,765 m
17 °C,793 rpm,27 %,0 %,39 °C,38 °C,-2 %,0.45 V,920 mbar,14.05 V,2 %,13 %,13 %,0.41 V,2 %,360 mbar,Malha fechada null,21 %,6 null,765 m
17 °C,791 rpm,27 %,0 %,39 °C,38 °C,2 %,0.45 V,920 mbar,14.05 V,2 %,13 %,13 %,0.21 V,3 %,360 mbar,Malha fechada null,21 %,6 null,765 m
17 °C,801 rpm,27 %,0 %,39 °C,39 °C,3 %,0.45 V,920 mbar,14.15 V,2 %,13 %,13 %,0.73 V,4 %,360 mbar,Malha fechada null,21 %,6 null,765 m
17 °C,803 rpm,27 %,0 %,39 °C,39 °C,4 %,0.45 V,920 mbar,14.05 V,2 %,13 %,13 %,0.75 V,4 %,360 mbar,Malha fechada null,21 %,6 null,765 m
17 °C,802 rpm,27 %,0 %,39 °C,39 °C,2 %,0.45 V,920 mbar,14.05 V,2 %,13 %,13 %,0.76 V,1 %,350 mbar,Malha fechada null,21 %,6 null,765 m
17 °C,801 rpm,27 %,0 %,39 °C,39 °C,0 %,0.45 V,920 mbar,14.15 V,2 %,13 %,12 %,0.72 V,0 %,350 mbar,Malha fechada null,21 %,6 null,765 m
17 °C,801 rpm,27 %,0 %,39 °C,39 °C,-1 %,0.45 V,920 mbar,14.15 V,2 %,13 %,13 %,0.27 V,3 %,350 mbar,Malha fechada null,21 %,6 null,765 m
17 °C,813 rpm,27 %,0 %,39 °C,39 °C,4 %,0.45 V,920 mbar,14.05 V,2 %,13 %,13 %,0.25 V,4 %,360 mbar,Malha fechada null,21 %,6 null,765 m
17 °C,808 rpm,27 %,0 %,39 °C,39 °C,4 %,0.45 V,920 mbar,14.15 V,2 %,13 %,13 %,0.74 V,4 %,360 mbar,Malha fechada null,21 %,6 null,765 m
17 °C,796 rpm,27 %,0 %,39 °C,39 °C,4 %,0.45 V,920 mbar,14.05 V,2 %,13 %,13 %,0.77 V,2 %,360 mbar,Malha fechada null,21 %,6 null,765 m
17 °C,805 rpm,27 %,0 %,39 °C,39 °C,2 %,0.45 V,920 mbar,14.24 V,2 %,13 %,13 %,0.75 V,1 %,350 mbar,Malha fechada null,21 %,6 null,765 m
17 °C,803 rpm,27 %,0 %,39 °C,39 °C,1 %,0.45 V,920 mbar,14.05 V,2 %,13 %,13 %,0.62 V,0 %,350 mbar,Malha fechada null,21 %,6 null,765 m
17 °C,805 rpm,27 %,0 %,39 °C,39 °C,3 %,0.45 V,920 mbar,14.05 V,2 %,13 %,12 %,0.69 V,3 %,350 mbar,Malha fechada null,21 %,6 null,765 m
17 °C,799 rpm,27 %,0 %,39 °C,39 °C,3 %,0.45 V,920 mbar,13.96 V,2 %,13 %,12 %,0.73 V,3 %,350 mbar,Malha fechada null,20 %,6 null,765 m
17 °C,794 rpm,27 %,0 %,39 °C,39 °C,3 %,0.45 V,920 mbar,14.15 V,2 %,12 %,12 %,0.72 V,2 %,350 mbar,Malha fechada null,20 %,6 null,765 m
17 °C,798 rpm,27 %,0 %,39 °C,39 °C,1 %,0.45 V,920 mbar,13.96 V,2 %,12 %,12 %,0.69 V,0 %,350 mbar,Malha fechada null,20 %,6 null,765 m
17 °C,789 rpm,27 %,0 %,39 °C,39 °C,-1 %,0.45 V,920 mbar,14.15 V,2 %,12 %,12 %,0.31 V,3 %,350 mbar,Malha fechada null,20 %,6 null,765 m
17 °C,795 rpm,27 %,0 %,39 °C,39 °C,4 %,0.45 V,920 mbar,14.15 V,2 %,12 %,12 %,0.19 V,4 %,350 mbar,Malha fechada null,21 %,6 null,765 m
17 °C,798 rpm,27 %,0 %,39 °C,39 °C,5 %,0.45 V,920 mbar,14.05 V,2 %,12 %,12 %,0.76 V,5 %,350 mbar,Malha fechada null,21 %,6 null,765 m
17 °C,785 rpm,27 %,0 %,39 °C,39 °C,5 %,0.45 V,920 mbar,14.05 V,2 %,12 %,12 %,0.77 V,5 %,350 mbar,Malha fechada null,20 %,6 null,765 m
17 °C,795 rpm,26 %,0 %,39 °C,39 °C,2 %,0.45 V,920 mbar,14.15 V,2 %,12 %,12 %,0.77 V,2 %,350 mbar,Malha fechada null,20 %,6 null,765 m
17 °C,785 rpm,27 %,0 %,39 °C,39 °C,1 %,0.45 V,920 mbar,14.15 V,2 %,12 %,12 %,0.74 V,0 %,350 mbar,Malha fechada null,20 %,6 null,765 m
17 °C,785 rpm,27 %,0 %,39 °C,39 °C,0 %,0.45 V,920 mbar,13.96 V,2 %,12 %,12 %,0.21 V,4 %,350 mbar,Malha fechada null,20 %,6 null,765 m
17 °C,797 rpm,27 %,0 %,39 °C,39 °C,5 %,0.45 V,920 mbar,14.15 V,2 %,12 %,12 %,0.71 V,5 %,350 mbar,Malha fechada null,20 %,6 null,765 m
17 °C,789 rpm,27 %,0 %,39 °C,39 °C,5 %,0.45 V,920 mbar,14.15 V,2 %,12 %,12 %,0.76 V,5 %,350 mbar,Malha fechada null,20 %,6 null,765 m
17 °C,790 rpm,27 %,0 %,39 °C,39 °C,5 %,0.45 V,920 mbar,14.15 V,2 %,12 %,12 %,0.77 V,2 %,350 mbar,Malha fechada null,20 %,6 null,765 m
17 °C,791 rpm,27 %,0 %,39 °C,39 °C,2 %,0.45 V,920 mbar,14.15 V,2 %,12 %,12 %,0.75 V,2 %,350 mbar,Malha fechada null,20 %,6 null,765 m
17 °C,790 rpm,26 %,0 %,39 °C,39 °C,1 %,0.45 V,920 mbar,14.15 V,2 %,12 %,12 %,0.75 V,0 %,350 mbar,Malha fechada null,20 %,6 null,765 m
17 °C,792 rpm,26 %,0 %,39 °C,39 °C,-1 %,0.45 V,920 mbar,14.15 V,2 %,12 %,12 %,0.56 V,-1 %,350 mbar,Malha fechada null,20 %,6 null,765 m
17 °C,788 rpm,26 %,0 %,39 °C,39 °C,3 %,0.45 V,920 mbar,13.96 V,2 %,12 %,12 %,0.19 V,4 %,350 mbar,Malha fechada null,20 %,6 null,765 m
17 °C,795 rpm,26 %,0 %,39 °C,39 °C,4 %,0.45 V,920 mbar,14.15 V,2 %,12 %,12 %,0.75 V,4 %,350 mbar,Malha fechada null,20 %,6 null,765 m
17 °C,787 rpm,26 %,0 %,39 °C,39 °C,4 %,0.45 V,920 mbar,14.05 V,2 %,12 %,12 %,0.77 V,4 %,350 mbar,Malha fechada null,20 %,6 null,765 m
17 °C,788 rpm,26 %,0 %,39 °C,39 °C,2 %,0.45 V,920 mbar,14.15 V,2 %,12 %,12 %,0.77 V,2 %,350 mbar,Malha fechada null,20 %,6 null,765 m
17 °C,781 rpm,26 %,0 %,39 °C,39 °C,1 %,0.45 V,920 mbar,14.24 V,2 %,12 %,12 %,0.70 V,0 %,350 mbar,Malha fechada null,20 %,6 null,765 m
17 °C,779 rpm,26 %,0 %,39 °C,39 °C,0 %,0.45 V,920 mbar,14.24 V,2 %,12 %,12 %,0.19 V,4 %,350 mbar,Malha fechada null,20 %,6 null,765 m
17 °C,793 rpm,26 %,0 %,39 °C,39 °C,5 %,0.45 V,920 mbar,14.15 V,2 %,12 %,12 %,0.73 V,5 %,350 mbar,Malha fechada null,20 %,6 null,765 m
17 °C,791 rpm,26 %,0 %,39 °C,39 °C,5 %,0.45 V,920 mbar,14.15 V,2 %,12 %,12 %,0.78 V,5 %,350 mbar,Malha fechada null,20 %,6 null,765 m
17 °C,782 rpm,26 %,0 %,39 °C,39 °C,5 %,0.45 V,920 mbar,13.96 V,2 %,12 %,12 %,0.78 V,2 %,350 mbar,Malha fechada null,20 %,6 null,765 m
17 °C,794 rpm,26 %,0 %,39 °C,39 °C,2 %,0.45 V,920 mbar,13.96 V,2 %,12 %,12 %,0.77 V,2 %,350 mbar,Malha fechada null,20 %,6 null,765 m
17 °C,789 rpm,26 %,0 %,39 °C,39 °C,1 %,0.45 V,920 mbar,13.96 V,2 %,12 %,12 %,0.66 V,1 %,350 mbar,Malha fechada null,20 %,6 null,765 m
17 °C,793 rpm,26 %,0 %,39 °C,39 °C,4 %,0.45 V,920 mbar,14.05 V,2 %,12 %,12 %,0.19 V,4 %,350 mbar,Malha fechada null,20 %,6 null,765 m
17 °C,787 rpm,26 %,0 %,39 °C,39 °C,5 %,0.45 V,920 mbar,13.96 V,2 %,12 %,12 %,0.74 V,5 %,350 mbar,Malha fechada null,20 %,6 null,765 m
17 °C,773 rpm,26 %,0 %,39 °C,40 °C,5 %,0.45 V,920 mbar,13.96 V,2 %,12 %,12 %,0.78 V,5 %,350 mbar,Malha fechada null,20 %,6 null,765 m
17 °C,776 rpm,26 %,0 %,39 °C,40 °C,5 %,0.45 V,920 mbar,13.96 V,2 %,12 %,12 %,0.78 V,2 %,350 mbar,Malha fechada null,20 %,6 null,765 m
17 °C,769 rpm,26 %,0 %,39 °C,40 °C,2 %,0.45 V,920 mbar,14.24 V,2 %,12 %,12 %,0.62 V,2 %,350 mbar,Malha fechada null,20 %,6 null,765 m
17 °C,764 rpm,27 %,0 %,39 °C,40 °C,5 %,0.45 V,920 mbar,14.05 V,2 %,12 %,12 %,0.17 V,6 %,350 mbar,Malha fechada null,20 %,6 null,765 m
17 °C,771 rpm,27 %,0 %,39 °C,40 °C,6 %,0.45 V,920 mbar,14.15 V,2 %,12 %,12 %,0.76 V,6 %,350 mbar,Malha fechada null,20 %,6 null,765 m
17 °C,767 rpm,27 %,0 %,39 °C,40 °C,6 %,0.45 V,920 mbar,14.15 V,2 %,12 %,12 %,0.79 V,6 %,350 mbar,Malha fechada null,20 %,6 null,765 m
17 °C,777 rpm,27 %,0 %,39 °C,40 °C,5 %,0.45 V,920 mbar,14.05 V,2 %,12 %,12 %,0.79 V,4 %,350 mbar,Malha fechada null,20 %,6 null,765 m
17 °C,764 rpm,26 %,0 %,39 °C,40 °C,3 %,0.45 V,920 mbar,14.15 V,2 %,12 %,12 %,0.76 V,3 %,350 mbar,Malha fechada null,20 %,6 null,765 m
17 °C,775 rpm,26 %,0 %,39 °C,40 °C,2 %,0.45 V,920 mbar,14.05 V,2 %,12 %,12 %,0.63 V,2 %,350 mbar,Malha fechada null,20 %,6 null,765 m
17 °C,766 rpm,26 %,0 %,39 °C,40 °C,5 %,0.45 V,920 mbar,14.15 V,2 %,12 %,12 %,0.18 V,5 %,350 mbar,Malha fechada null,20 %,6 null,765 m
17 °C,773 rpm,27 %,0 %,39 °C,40 °C,6 %,0.45 V,920 mbar,14.05 V,2 %,12 %,12 %,0.75 V,6 %,350 mbar,Malha fechada null,20 %,6 null,765 m
17 °C,765 rpm,27 %,0 %,39 °C,41 °C,6 %,0.45 V,920 mbar,14.05 V,2 %,12 %,12 %,0.78 V,6 %,350 mbar,Malha fechada null,20 %,6 null,765 m
17 °C,774 rpm,27 %,0 %,39 °C,41 °C,4 %,0.45 V,920 mbar,14.15 V,2 %,12 %,12 %,0.78 V,4 %,350 mbar,Malha fechada null,20 %,6 null,765 m
17 °C,771 rpm,26 %,0 %,39 °C,41 °C,3 %,0.45 V,920 mbar,14.15 V,2 %,12 %,12 %,0.75 V,2 %,350 mbar,Malha fechada null,20 %,6 null,765 m
17 °C,773 rpm,26 %,0 %,39 °C,41 °C,2 %,0.45 V,920 mbar,14.05 V,2 %,12 %,12 %,0.54 V,2 %,350 mbar,Malha fechada null,20 %,6 null,765 m
17 °C,768 rpm,26 %,0 %,39 °C,41 °C,5 %,0.45 V,920 mbar,14.15 V,2 %,12 %,12 %,0.17 V,6 %,340 mbar,Malha fechada null,20 %,6 null,765 m
17 °C,771 rpm,26 %,0 %,39 °C,41 °C,6 %,0.45 V,920 mbar,14.15 V,2 %,12 %,12 %,0.77 V,6 %,350 mbar,Malha fechada null,20 %,6 null,765 m
17 °C,772 rpm,26 %,0 %,39 °C,41 °C,6 %,0.45 V,920 mbar,14.15 V,2 %,12 %,12 %,0.79 V,6 %,350 mbar,Malha fechada null,20 %,6 null,765 m
17 °C,773 rpm,26 %,0 %,39 °C,41 °C,4 %,0.45 V,920 mbar,14.05 V,2 %,12 %,12 %,0.80 V,4 %,350 mbar,Malha fechada null,20 %,6 null,765 m
17 °C,770 rpm,26 %,0 %,39 °C,41 °C,3 %,0.45 V,920 mbar,14.15 V,2 %,12 %,12 %,0.76 V,2 %,340 mbar,Malha fechada null,20 %,6 null,765 m
17 °C,767 rpm,26 %,0 %,39 °C,41 °C,2 %,0.45 V,920 mbar,14.15 V,2 %,12 %,12 %,0.38 V,5 %,340 mbar,Malha fechada null,20 %,6 null,765 m
17 °C,771 rpm,26 %,0 %,39 °C,41 °C,6 %,0.45 V,920 mbar,14.15 V,2 %,12 %,12 %,0.24 V,6 %,340 mbar,Malha fechada null,20 %,6 null,765 m
17 °C,770 rpm,26 %,0 %,39 °C,41 °C,6 %,0.45 V,920 mbar,14.05 V,2 %,12 %,12 %,0.78 V,6 %,350 mbar,Malha fechada null,20 %,6 null,765 m
17 °C,772 rpm,26 %,0 %,39 °C,41 °C,6 %,0.45 V,920 mbar,14.05 V,2 %,12 %,12 %,0.79 V,5 %,350 mbar,Malha fechada null,20 %,6 null,765 m
17 °C,770 rpm,26 %,0 %,39 °C,42 °C,4 %,0.45 V,920 mbar,14.24 V,2 %,12 %,12 %,0.78 V,4 %,350 mbar,Malha fechada null,20 %,6 null,765 m
,768 rpm,25 %,0 %,,42 °C,,,,,,,,,,,,,,765 m
,776 rpm,26 %,0 %,,42 °C,6 %,0.45 V,,,,,12 %,0.74 V,6 %,,Malha fechada null,,6 null,765 m
,779 rpm,26 %,0 %,,42 °C,6 %,0.45 V,,,,,12 %,0.78 V,6 %,,Malha fechada null,,6 null,765 m
,774 rpm,26 %,0 %,,42 °C,6 %,0.45 V,,,,,12 %,0.79 V,6 %,,Malha fechada null,,6 null,765 m
,775 rpm,26 %,0 %,,42 °C,6 %,0.45 V,,,,,12 %,0.80 V,5 %,,Malha fechada null,,6 null,765 m
,768 rpm,26 %,0 %,,42 °C,4 %,0.45 V,,,,,12 %,0.80 V,4 %,,Malha fechada null,,6 null,765 m
,774 rpm,27 %,0 %,,42 °C,3 %,0.45 V,,,,,12 %,0.74 V,3 %,,Malha fechada null,,6 null,765 m
,768 rpm,27 %,0 %,,42 °C,3 %,0.45 V,,,,,12 %,0.23 V,7 %,,Malha fechada null,,6 null,765 m
,771 rpm,28 %,0 %,,42 °C,7 %,0.45 V,,,,,12 %,0.17 V,8 %,,Malha fechada null,,6 null,765 m
,764 rpm,29 %,0 %,,42 °C,8 %,0.45 V,,,,,12 %,0.76 V,8 %,,Malha fechada null,,6 null,765 m
,781 rpm,28 %,0 %,,42 °C,8 %,0.45 V,,,,,12 %,0.78 V,8 %,,Malha fechada null,,6 null,765 m
,775 rpm,27 %,0 %,,42 °C,8 %,0.45 V,,,,,12 %,0.81 V,8 %,,Malha fechada null,,6 null,765 m
,774 rpm,26 %,0 %,,42 °C,8 %,0.45 V,,,,,13 %,0.82 V,5 %,,Malha fechada null,,6 null,765 m
,924 rpm,57 %,0 %,,42 °C,5 %,0.45 V,,,,,39 %,0.87 V,3 %,,Malha fechada null,,6 null,765 m
,2703 rpm,63 %,0 %,,42 °C,1 %,0.45 V,,,,,14 %,0.77 V,-1 %,,Malha fechada null,,6 null,765 m
,2394 rpm,22 %,0 %,,42 °C,0 %,0.45 V,,,,,14 %,0.83 V,0 %,,Malha aberta - condição de codução null,,6 null,765 m
,1849 rpm,19 %,0 %,,42 °C,0 %,0.45 V,,,,,13 %,0.77 V,0 %,,Malha aberta - condição de codução null,,6 null,765 m
,1642 rpm,16 %,0 %,,42 °C,0 %,0.45 V,,,,,25 %,0.82 V,-1 %,,Malha fechada null,,6 null,765 m
,1895 rpm,88 %,0 %,,42 °C,-2 %,0.45 V,,,,,15 %,0.83 V,-5 %,,Malha aberta - condição de codução null,,6 null,765 m
,3157 rpm,24 %,0 %,,42 °C,-7 %,0.45 V,,,,,15 %,0.80 V,-9 %,,Malha aberta - condição de codução null,,6 null,765 m
,2514 rpm,17 %,0 %,,42 °C,0 %,0.45 V,,,,,15 %,0.22 V,0 %,,Malha aberta - condição de codução null,,6 null,765 m
,1997 rpm,18 %,0 %,,42 °C,0 %,0.45 V,,,,,13 %,0.17 V,0 %,,Malha aberta - condição de codução null,,6 null,765 m
,1716 rpm,16 %,0 %,,42 °C,0 %,0.45 V,,,,,13 %,0.74 V,-1 %,,Malha fechada null,,6 null,765 m
,1530 rpm,17 %,0 %,,42 °C,-2 %,0.45 V,,,,,13 %,0.74 V,-2 %,,Malha fechada null,,6 null,765 m
,1366 rpm,20 %,0 %,,42 °C,2 %,0.45 V,,,,,13 %,0.19 V,2 %,,Malha fechada null,,6 null,765 m
,1249 rpm,22 %,0 %,,42 °C,3 %,0.45 V,,,,,13 %,0.75 V,3 %,,Malha fechada null,,6 null,765 m
